,Li,B,O,F,Na,Mg,Al,Si,P,K,Ca,Ti,Fe,Sr,Zr,Ba,Pb,Modulus
4413,0,0,57.34265734,0,6.993006993,1.748251748,1.398601399,20.97902098,0,6.993006993,0.699300699,0,0,3.146853147,0,0.699300699,0,72
4414,0,0,57.14285714,0,7.482993197,1.700680272,2.721088435,20.40816327,0,7.482993197,0.680272109,0,0,1.700680272,0,0.680272109,0,71
4415,0,0,57.74647887,0,6.338028169,1.76056338,1.408450704,21.12676056,0,6.338028169,0,0,0,1.76056338,0,3.521126761,0,69
4416,0,0,57.53424658,0,6.849315068,1.712328767,2.739726027,20.54794521,0,6.849315068,0,0,0,1.712328767,0,2.054794521,0,70
4418,0,0,60.25641026,0,8.974358974,0,6.41025641,21.79487179,0,0,0,0,0,0,0,2.564102564,0,74.4
4419,0,0,60,0,5.714285714,2.857142857,17.14285714,14.28571429,0,0,0,0,0,0,0,0,0,99.1
4420,0,0,61.68831169,0,5.194805195,3.896103896,6.493506494,22.07792208,0,0,0,0,0,0,0.649350649,0,0,82.3
4421,10.25641026,0,58.97435897,0,0,1.923076923,7.692307692,18.58974359,0,0,1.923076923,0,0,0,0.641025641,0,0,95.7
4422,11.72839506,0,58.64197531,0,0,1.851851852,9.259259259,17.90123457,0,0,0,0,0,0,0.617283951,0,0,92.2
4423,10.06289308,0,59.74842767,0,0,0,7.547169811,20.12578616,0,0,1.886792453,0,0,0,0.628930818,0,0,90.9
4424,10.06289308,0,59.74842767,0,0,0,7.547169811,20.12578616,0,0,0,0,0,0,0.628930818,1.886792453,0,87.4
4425,0,1.204093919,60.26490066,0,8.970499699,0.60204696,9.090909091,19.86754967,0,0,0,0,0,0,0,0,0,70.9
4426,0,1.204093919,59.6628537,0,8.368452739,0.60204696,9.090909091,19.26550271,0,1.806140879,0,0,0,0,0,0,0,70.33
4427,0,1.204093919,59.6628537,0,7.76640578,0.60204696,9.090909091,19.26550271,0,2.408187839,0,0,0,0,0,0,0,70
4428,0,1.207729469,59.84299517,0,7.185990338,0.905797101,9.118357488,19.3236715,0,2.415458937,0,0,0,0,0,0,0,69.62
4429,0,1.209043646,59.85068311,0,7.86482892,0.604521823,9.079917785,19.33563052,0,1.692661105,0.362713094,0,0,0,0,0,0,70.1
4430,0,2.491842183,59.98220113,0,7.238208247,0.148323939,9.018095521,18.80747553,0,1.957876001,0.355977455,0,0,0,0,0,0,69.88
4431,0,2.449955184,59.9342695,0,6.871825515,0.507917538,8.425455632,19.18135644,0,2.629220197,0,0,0,0,0,0,0,70.17
4432,0,2.445279418,60.24035307,0,6.208624083,0.506948172,8.600226636,19.37436631,0,2.624202302,0,0,0,0,0,0,0,70.22
4433,0,3.012404017,60.36621382,0,6.202008269,0,8.38747785,19.43295924,0,2.598936799,0,0,0,0,0,0,0,70.04
4434,0,1.393517116,59.34565283,0,8.118751893,0.757346259,8.542865798,19.11541957,0,2.665858831,0.060587701,0,0,0,0,0,0,69.1
4435,0,1.501501502,59.27927928,0,8.888888889,0.12012012,8.528528529,19.21921922,0,2.462462462,0,0,0,0,0,0,0,69.6
4436,0,1.270417423,59.25589837,0,8.408953418,0.604960678,8.590441621,19.14700544,0,2.722323049,0,0,0,0,0,0,0,69.5
4437,0,1.56203064,59.35716431,0,8.471012316,0.39050766,8.711324722,19.04475819,0,2.463202163,0,0,0,0,0,0,0,69.8
4438,0,0,60.52747253,0,9.651491366,0.954474097,6.235478807,22.36734694,0.263736264,0,0,0,0,0,0,0,0,70.0764
4439,0,0,60.52689147,0,9.631550986,0.971905372,6.406450202,22.05693928,0.406262696,0,0,0,0,0,0,0,0,70.3317
4440,0,7.692307692,57.69230769,0,15.38461538,0,0,19.23076923,0,0,0,0,0,0,0,0,0,73
4441,0,20,56.66666667,0,13.33333333,0,0,10,0,0,0,0,0,0,0,0,0,75
4442,0,29.41176471,55.88235294,0,11.76470588,0,0,2.941176471,0,0,0,0,0,0,0,0,0,62
4443,0,0,57.69230769,0,15.38461538,0,7.692307692,19.23076923,0,0,0,0,0,0,0,0,0,67
4444,0,7.142857143,57.14285714,0,14.28571429,0,7.142857143,14.28571429,0,0,0,0,0,0,0,0,0,69
4445,0,13.33333333,56.66666667,0,13.33333333,0,6.666666667,10,0,0,0,0,0,0,0,0,0,64
4446,0,18.75,56.25,0,12.5,0,6.25,6.25,0,0,0,0,0,0,0,0,0,56
4447,0,23.52941176,55.88235294,0,11.76470588,0,5.882352941,2.941176471,0,0,0,0,0,0,0,0,0,50
4448,0,27.77777778,55.55555556,0,11.11111111,0,5.555555556,0,0,0,0,0,0,0,0,0,0,44
4449,0,6.666666667,56.66666667,0,13.33333333,0,13.33333333,10,0,0,0,0,0,0,0,0,0,62
4450,0,12.5,56.25,0,12.5,0,12.5,6.25,0,0,0,0,0,0,0,0,0,51
