,Li,B,O,F,Na,Mg,Al,Si,P,K,Ca,Ti,Fe,Sr,Zr,Ba,Pb,Expansion
355,0,0,62.06939358,0,0,6.895909627,13.79181925,17.24287754,0,0,0,0,0,0,0,0,0,31
356,0,0,60.86956522,0,0,13.04347826,8.695652174,17.39130435,0,0,0,0,0,0,0,0,0,40
357,0,0,61.2244898,0,0,10.20408163,12.24489796,16.32653061,0,0,0,0,0,0,0,0,0,35
358,0,0,61.53846154,0,0,7.692307692,15.38461538,15.38461538,0,0,0,0,0,0,0,0,0,36
359,0,0,60,0,0,14.99912511,10.00174978,14.99912511,0,0,0,0,0,0,0,0,0,42
360,0,0,60.13069636,0,9.190235807,0.867851463,0.684599959,24.85651061,0,0.698430261,3.530184635,0,0.013830302,0,0,0.027660604,0,90
361,0,4.043633628,61.85505611,0,6.168892232,0,2.959062128,23.50636324,0,0.426305561,0.645727541,0,0,0,0,0.394959564,0,47
362,0,7.025300909,64.02910833,0,2.161631049,0,0.859739622,25.43908131,0,0.485138787,0,0,0,0,0,0,0,32
365,0,0,59.06373149,0,11.78828645,1.474385107,1.569506726,23.52221769,0,0.570729719,2.011142818,0,0,0,0,0,0,98
366,1.13750221,10.26109507,62.35928567,0,0.241645547,0,1.331997407,21.29722402,0,3.371250074,0,0,0,0,0,0,0,51
367,0,6.445240153,62.97999753,0,3.685640202,0,1.518706013,24.14804297,0,0.654401778,0.518582541,0,0,0,0,0.049388813,0,49
368,0.243189253,12.92377175,63.63452129,0,0.880113488,0,0.318462117,21.44118584,0,0.463217625,0.095538635,0,0,0,0,0,0,32
370,0,0.245549417,61.07700703,0,4.208444172,0,0,26.72737194,0,5.183821022,2.557806425,0,0,0,0,0,0,93
371,0.908608569,0,60.70102136,0,5.120042446,0,2.228412256,25.29181589,0,3.999204138,0,0,0.019896538,0,0,1.730998806,0,90
381,0,0,61.66666667,0,0,10,10,18.33333333,0,0,0,0,0,0,0,0,0,41.5
382,0,0,61.01694915,0,0,11.86440678,10.16949153,16.94915254,0,0,0,0,0,0,0,0,0,45
383,16.66666667,0,58.33333333,0,0,0,0,20.83333333,0,0,0,0,0,0,4.166666667,0,0,74
384,13.33333333,0,60,0,0,0,0,22.5,0,0,0,0,0,0,4.166666667,0,0,64
385,0,32.15739484,54.77159656,0,13.07100859,0,0,0,0,0,0,0,0,0,0,0,0,114.9
386,0,33.74558304,55.83038869,0,10.42402827,0,0,0,0,0,0,0,0,0,0,0,0,104.3
387,0,34.06593407,56.04395604,0,9.89010989,0,0,0,0,0,0,0,0,0,0,0,0,101.4
388,0,36.52137114,57.68091409,0,5.797714769,0,0,0,0,0,0,0,0,0,0,0,0,93.7
389,0,37.10691824,58.07127883,0,4.821802935,0,0,0,0,0,0,0,0,0,0,0,0,101.1
390,0,34.89583333,56.59722222,0,8.506944444,0,0,0,0,0,0,0,0,0,0,0,0,97.2
391,0,35.23316062,56.82210708,0,7.944732297,0,0,0,0,0,0,0,0,0,0,0,0,95
392,0,35.51160791,57.00773861,0,7.480653482,0,0,0,0,0,0,0,0,0,0,0,0,94.3
393,0,35.84260051,57.22840034,0,6.928999145,0,0,0,0,0,0,0,0,0,0,0,0,93.7
394,0,35.95217763,57.30145175,0,6.746370623,0,0,0,0,0,0,0,0,0,0,0,0,94.9
401,0.836334069,12.88186781,64.10152166,0,0,0,0,22.18027645,0,0,0,0,0,0,0,0,0,30
402,0.978461906,10.50653302,63.95501462,0,0.942664519,0,0,23.61732594,0,0,0,0,0,0,0,0,0,31
403,0.606042776,11.75016916,64.16404342,0,0.288311612,0,0,22.99726398,0,0.194169045,0,0,0,0,0,0,0,30
404,0,10.58749888,64.0108498,0,1.782467436,0,0,23.61918388,0,0,0,0,0,0,0,0,0,32
405,0.603574568,11.74333431,64.17521242,0,0.23439789,0,0.357456783,22.77468503,0,0.111338998,0,0,0,0,0,0,0,31
409,11.82942836,4.468150465,57.87930409,0.094948197,0.022340752,0,12.07517663,12.63928063,0,0,0,0.868496747,0,0,0,0,0.122874138,72.1
410,12.48300169,5.05092554,57.44178947,0,0,0.32747759,12.07781756,12.56070824,0,0,0,0,0,0,0,0,0.05827991,74
411,12.49197264,4.294290102,57.38656987,0,0,0.653357532,12.60365769,12.57015217,0,0,0,0,0,0,0,0,0,73
412,12.0083045,4.855363322,57.56401384,0,0.542560554,0,12.10795848,12.07750865,0,0,0,0.844290657,0,0,0,0,0,76.8
413,11.81648514,4.456948662,57.85955041,0,0,0,12.06161732,12.62152149,0,0.239560991,0,0.866319396,0,0,0,0,0.077996602,72.9
414,12.5289107,4.309809895,57.4011395,0,0,0.874372426,11.94787612,12.60788628,0,0,0,0.330005077,0,0,0,0,0,74.4
