,Li,B,O,F,Na,Mg,Al,Si,P,K,Ca,Ti,Fe,Sr,Zr,Ba,Pb,k_10GHz
57,10.69714444,0,52.76406201,3.404578571,0,0,0,19.94060979,0,7.914091364,1.702289286,0,0,0,0,0,3.577224543,7.97
58,10.94527363,0,55.44110434,0,0,0,0,20.40501717,0,8.100343354,0,0,0,0,0,2.666246234,2.442015276,8.35
59,0,0,57.31802673,0,5.629798123,0,0,21.77281774,0,8.643730452,0,0,0,0,0,6.635626955,0,8.36
60,0,0,60.50333333,0,4.86,0,0,27.17,0,7.466666667,0,0,0,0,0,0,0,7.17
61,0,0,60.15990243,0,4.702215597,0,0,26.28226845,0,7.222711566,0,0,0,0,0,0,1.632901958,6.7
62,0,0,60.64259733,0,4.479321029,0,0,26.96349185,0,6.87727334,0,0,0,0,0,0,1.037316449,6.27
63,1.910960327,0,53.74229731,3.66267396,5.53901544,0,0,20.95824967,0,8.50931247,1.83133698,0,0,0,0,0,3.846153846,7.86
64,10.49725663,0,52.41036613,3.347251458,3.540494841,0,0,19.57969564,0,5.438420925,1.673625729,0,0,0,0,0,3.512888644,8.03
65,0,0,56.6638417,0,5.121780464,0,0,19.82018497,0,7.863222668,7.078374295,0,0,0,0,3.452595895,0,8.37
66,10.96903511,0,55.00069118,0,5.287531103,0,0,20.44512027,0,4.630909594,0,0,0,0,0,0,3.666712745,8.15
67,10.73928871,0,55.03360403,0,3.619434332,0,0,20.02940353,0,5.56566788,0,0,0,0,0,2.614813778,2.397787735,8.4
68,10.65817558,0,54.85846251,0,5.136638791,0,0,19.86773505,0,4.506805696,0,0,0,0,0,2.596311977,2.375870394,8.21
69,8.487010365,0,58.26827298,0,4.092071611,0,0,24.61973348,0,3.587293041,0,0,0,0,0,0,0.945618522,6.64
70,8.030658749,0,57.8269576,0,3.873774341,0,0,23.30479216,0,3.397320812,3.56649634,0,0,0,0,0,0,6.99
71,0,0,62.50046874,0,0,0,0,25.00093749,0,0,0,0,0,0,0,0,12.49859377,9.34
72,2.75882638,0,61.33914924,0,0,0,0,24.05771167,0,0,0,0,0,0,0,0,11.84431272,9.31
73,0,0,61.38871577,0,0,0,0,24.72779265,0,3.90072222,0,0,0,0,0,0,9.982769366,8.91
74,0,0,56.88333333,0,19.56666667,0,0,23.55,0,0,0,0,0,0,0,0,0,7.75
75,0,0,56.20358515,0,19.60307298,0,3.969270166,20.2240717,0,0,0,0,0,0,0,0,0,7.93
76,0,0,55.35541419,0,20.14935694,0,0,20.78550685,0,0,3.70972203,0,0,0,0,0,0,8.32
77,0,0,58.94310316,0,13.78355563,1.009623502,0.796893466,24.3795374,0,0,1.087286848,0,0,0,0,0,0,7
78,0,10.28285039,62.57560919,0.198744167,0.305317127,1.774295754,5.841350308,16.42951783,0.69128406,0.120974711,1.745492252,0.034564203,0,0,0,0,0,3.4
79,0,10.58366661,62.4442126,0.197067177,0.301396859,1.817075291,5.8250739,16.57972527,0.318785139,0.121717962,1.776502637,0.034776561,0,0,0,0,0,3.4
80,0,13.79310345,62.64367816,0,3.448275862,0,0,20.11494253,0,0,0,0,0,0,0,0,0,4.49
81,0.862068966,13.79310345,62.64367816,0,2.586206897,0,0,20.11494253,0,0,0,0,0,0,0,0,0,4.37
82,1.379310345,13.79310345,62.64367816,0,2.068965517,0,0,20.11494253,0,0,0,0,0,0,0,0,0,4.32
83,1.724137931,13.79310345,62.64367816,0,1.724137931,0,0,20.11494253,0,0,0,0,0,0,0,0,0,4.28
84,2.586206897,13.79310345,62.64367816,0,0.862068966,0,0,20.11494253,0,0,0,0,0,0,0,0,0,4.25
85,3.448275862,13.79310345,62.64367816,0,0,0,0,20.11494253,0,0,0,0,0,0,0,0,0,4.23
86,0.862068966,13.79310345,62.64367816,0,0,0,0,20.11494253,0,2.586206897,0,0,0,0,0,0,0,4.5
87,1.724137931,13.79310345,62.64367816,0,0,0,0,20.11494253,0,1.724137931,0,0,0,0,0,0,0,4.37
88,2.298850575,13.79310345,62.64367816,0,0,0,0,20.11494253,0,1.149425287,0,0,0,0,0,0,0,4.34
89,2.586206897,13.79310345,62.64367816,0,0,0,0,20.11494253,0,0.862068966,0,0,0,0,0,0,0,4.32
90,0,13.79310345,62.64367816,0,0.862068966,0,0,20.11494253,0,2.586206897,0,0,0,0,0,0,0,4.56
91,0,13.79310345,62.64367816,0,1.724137931,0,0,20.11494253,0,1.724137931,0,0,0,0,0,0,0,4.47
92,0,13.79310345,62.64367816,0,2.586206897,0,0,20.11494253,0,0.862068966,0,0,0,0,0,0,0,4.45
93,0,11.21528815,61.82741117,0,0.12541057,3.293520454,5.243356226,15.49716333,0,0.041803523,1.845326963,0,0,0.376231711,0,0.522544043,0,5.6
94,0,9.665655358,62.14029604,0,0.159357666,3.582482915,4.541693482,17.25353192,0,0.06129141,1.694707487,0,0,0.248230211,0,0.619043241,0,5.6
95,0,9.106096042,62.30902409,0,0.097196489,3.344166692,5.327582541,17.47714364,0,0.103271269,1.342526501,0,0,0.249066002,0,0.619627616,0,5.5
96,0,8.05344334,62.41110735,0,0.129298402,3.527999261,5.38127636,18.15718991,0,0.043099467,1.357633224,0,0,0.252439738,0,0.652649078,0,5.6
